"Product","Brand","Ingredients","Price","Rev_score","Size","Rev_count"
"Loose Setting Powder","Dermablend","Talc. [± May contain Cl 77491, Cl 77492, Cl 77499 / Iron Oxides, CI 77891 / Titanium Dioxide].",29,89,1,871
"Crystalized Photo Finish Primer Water","Smashbox","Water\Aqua\Eau, Butylene Glycol, Caffeine, Magnesium Chloride, Diamond Powder, Polysorbate 80, Calcium Chloride, Sodium Sulfate, Potassium Nitrate, Potassium Phosphate, Fragrance (Parfum), Limonene, Phenoxyethanol, Sodium Benzoate.

Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.",32,NA,3.9,NA
"HD Pro Concealer","L.A. Girl","Porcelain, Light Ivory, Natural, Creamy Beige, Pure Beige, Medium Beige, Almond, Cool Tan, Toast, Warm Honey, Fawn, Toffee, Beautiful Bronze, Orange Corrector, Yellow Corrector, Green Corrector: Water (Aqua), Cyclopentasiloxane, Beeswax (Cera Alba), Stearyl Dimethicone, Isododecane, Cetyl Ethylhexanoate, Microcrystalline Wax (Cera Microcristallina), Cetyl PEG / PPG-10 / 1 Dimethicone Glyceryl Laurate, Polyglyceryl-4 Oleate, Mica, Disteardimonium Hectorite, Phenoxyethanol, Methylparaben, Ethylparaben, Butylparaben, Propylparaben, Tocopheryl Acetate, Ascorbyl Palmitate, Propylene Glycol, Chamomilla Recutita Extract, Propylene Carbonate, Sodium Hyaluronate. May Contain: Iron Oxide (CI 77491), Iron Oxide (CI 77492), Iron Oxide (CI 77499), Titanium Dioxide (CI 77891).

Lavender Corrector: Water (Aqua), Cyclopentasiloxane, Beeswax (Cera Alba), Stearyl Dimethicone, Isododecane, Cetyl Ethylhexanoate, Microcrystalline Wax (Cera Microcristallina), Cetyl PEG / PPG-10 / 1 Dimethicone, Glyceryl Laurate, Polyglyceryl-4 Oleate, Mica, Disteardimonium Hectorite, Triethoxycaprylylsilane, Phenoxyethanol, Methylparaben, Ethylparaben, Butylparaben, Propylparaben, Tocopheryl Acetate, Ascorbyl Palmitate, Propylene Glycol, Chamomilla Recutita Extract, Propylene Carbonate, Sodium Hyaluronate. May Contain: Iron Oxides (CI 77491, CI 77492, CI 77499), Titanium Dioxide (CI 77891), Ultramarines (CI 77007).

Peach Corrector: Water (Aqua), Cyclopentasiloxane, Beeswax (Cera Alba), Stearyl Dimethicone, Isododecane, Cetyl Ethylhexanoate, Microcrystalline Wax (Cera Microcristallina), Cetyl PEG / PPG-10 / 1 Dimethicone, Glyceryl Laurate, Polyglyceryl-4 Oleate, Mica, Disteardimonium Hectorite, Phenoxyethanol, Methylparaben, Ethylparaben, Butylparaben, Propylparaben, Tocopheryl Acetate, Ascorbyl Palmitate, Propylene Glycol, Chamomilla Recutita Extract, Propylene Carbonate, Sodium Hyaluronate. May Contain: Iron Oxides (CI 77491, CI 77492, CI 77499), Titanium Dioxide (CI 77891).

Light Yellow Corrector: Water (Aqua), Cyclopentasiloxane, Beeswax (Cera Alba), Stearyl Dimethicone, Isododecane, Cetyl Ethylhexanoate, Microcrystalline Wax (Cera Microcristallina), Cetyl PEG / PPG-10 / 1 Dimethicone, Glyceryl Laurate, Polyglyceryl-4 Oleate, Mica, Disteardimonium Hectorite, Phenoxyethanol, Methylparaben, Ethylparaben, Butylparaben, Propylparaben, Tocopheryl Acetate, Ascorbyl Palmitate, Propylene Glycol, Chamomilla Recutita Extract, Propylene Carbonate, Sodium Hyaluronate, Tin Oxide. May Contain: Iron Oxides (CI 77491, CI 77492, CI 77499), Titanium Dioxide (CI 77891).

Highlighter: Water (Aqua), Cyclopentasiloxane, Beeswax (Cera Alba), Stearyl Dimethicone, Isododecane, Cetyl Ethylhexanoate, Microcrystalline Wax (Cera Microcristallina), Cetyl PEG / PPG-10 / 1 Dimethicone, Glyceryl Laurate, Polyglyceryl-4 Oleate, Mica, Disteardimonium Hectorite, Phenoxyethanol, Methylparaben, Ethylparaben, Butylparaben, Propylparaben, Tocopheryl Acetate, Ascorbyl Palmitate, Propylene Glycol, Chamomilla Recutita Extract, Propylene Carbonate, Sodium Hyaluronate, Tin Oxide. May Contain: Iron Oxides (CI 77491, CI 77492, CI 77499), Titanium Dioxide (CI 77891).",4.99,82,0.28,1194
"Pro Longwear Concealer","MAC","Cyclopentasiloxane, Water / Aqua / Eau, Trimethylsiloxysilicate, Butylene Glycol, Sorbitan Sesquioleate, PEG / PPG-18 / 18 Dimethicone, Tribehenin, Magnesium Sulfate, Phenyl Trimethicone, Tocopheryl Acetate, Sodium Hyaluronate, Glycerin, Dimethicone, Methicone, Ethylhexylglycerin, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Laureth-7, Xanthan Gum, Phenoxyethanol, Chlorphenesin, Sorbic Acid. May Contain: Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499).

Please read the ingredient list on the packaging of your product to be sure that the ingredients are appropriate for your personal use.",25,86,0.3,162
"All Nighter Waterproof Setting Powder","Urban Decay Cosmetics","Dimethicone, Nylon-12, Silica, Zinc Stearate, HDI/Trimethylol Hexyllactone Crosspolymer, Dimethiconol, Magnesium Myristate, Potassium Sorbate, Caprylyl Glycol, Phenoxyethanol, Lauroyl Lysine, Hexylene Glycol. May Contain: Mica, CI 77491, CI 77492, CI 77499 / Iron Oxides.",34,78,0.26,130
"Monochromatic Blush Duo","COVER FX","Matte Blush: Synthetic Fluorphlogopite, Polymethylsilsesquioxane, Myristyl Trisiloxane, Dipentaerythrityl Hexahydroxystearate, Neopentyl Glycol Dicaprylate/Dicaprate, Mica, Caprylyl Glycol, Ethylhexylglycerin. May Contain: Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Red 7 Lake (CI 15850), Red 6 (CI 15850), Bismuth Oxychloride (CI 77163), Red 30 Lake (CI 73360), Ultramarines (CI 77007).

Shimmer Blush: Mica, Cetearyl Ethylhexanoate, Hdi/Trimethylol Hexyllactone Crosspolymer, Squalane, Octyldodecyl Stearoyl Stearate, Glycerin, Polysorbate 20, Caprylyl Glycol, Ethylhexylglycerin, 1,2-Hexanediol, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Chondrus Crispus, Xanthan Gum, Silica, Dicalcium Phosphate, Synthetic Fluorphlogopite. May Contain: Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Red 30 Lake (CI 73360), Ultramarines (CI 77007), Ferric Ferrocyanide (CI 77510), Manganese Violet (CI 77742).",38,83,0.51,14
"Backlight Priming Filter","BECCA","Water (Aqua), Ethylhexyl Palmitate, Glycerin, Caprylic/Capric Triglyceride, Mica, Titanium Dioxide (CI 77891), Tocopheryl Acetate, Glycyrrhiza Glabra (Licorice) Extract, Panthenol, Silica, Carbomer, Ethylhexylglycerin, Disodium EDTA, Sodium Hydroxide, Phenoxyethanol, Fragrance (Parfum), Iron Oxides (CI 77491).",39,89,1,513
"Crystalized Highlighter","Smashbox","Synthetic Fluorphlogopite, Cetearyl Ethylhexanoate, C12-20 Acid PEG-8 Ester, Hdi/Trimethylol Hexyllactone Crosspolymer, Squalane, Silica, Glycerin, Chondrus Crispus (Carrageenan) Extract, Ethylhexylglycerin, DicalcIum Phosphate, Tin Oxide, Diamond Powder, Polysorbate 80, Caprylyl Glycol, 1,2-Hexanediol, Mica, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491).

Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.",39,71,0.31,17
"Duo Chrome Illuminator","ULTA","Mica, Caprylic / Capric Triglyceride, Dimethicone, Talc, Silica, Isostearyl Alcohol, Magnesium Stearate, Boron Nitride, Beeswax, Synthetic Wax, Tocopheryl Acetate, Sorbitan Isostearate, Sodium Dehydroacetate, Phenoxyethanol, Ethylhexylglycerin, Caprylyl Glycol, Calcium Sodium Borosilicate, Calcium Aluminum Borosilicate, Tin Oxide. May Contain: Iron Oxides (CI 77491, CI 77492, CI 77499), Titanium Dioxide (CI 77891), Ultramarines (CI 77007), Manganese Violet (CI 77742), Yellow 5 Lake (CI 19140:1), Blue 1 Lake (CI 42090:2), Carmine (CI 75470), Ferric Ferrocyanide (CI 77510).",10,94,NA,68
"Travel Size All Nighter Long-Lasting Makeup Setting Spray","Urban Decay Cosmetics","Aqua / Water, Alcohol Denat., PVP, Dimethicone PEG-7 Phosphate, PPG-3 Benzyl Ether Myristate, Polyhydroxystearic Acid, Dipropylene Glycol, Isononyl Isononanoate, Ethylhexyl Isononanoate, Caprylyl Glycol, Sodium Cocamidopropyl PG-Dimonium Chloride Phosphate, Methyl Methacrylate Crosspolymer, Glycereth-5 Lactate, Sodium Hydroxide, Phenylpropanol, Parfum / Fragrance, Propanediol, Methyl Diisopropyl Propionamide, Poloxamer 407, Aloe Barbadensis Leaf Juice Powder, Maltodextrin, Hexyl Cinnamal, Linalool, Citronellol, Limonene, Benzyl Alcohol, Tocopherol, Potassium Sorbate, Sodium Benzoate, BHT.",15,94,1,813
"Chocolate Soleil Matte Bronzer","Too Faced","Milk Chocolate: Talc, Mica, Titanium Dioxide, Octyldodecyl Stearoyl Stearate, Ethylhexyl Palmitate, Boron Nitride, Zinc Stearate, Sodium Saccharin, Fragrance/Parfum, Benzyl Benzoate, Sodium Dehydroacetate, Phenoxyethanol, Theobroma Cacao (Cocoa) Fruit Powder/Theobroma Cacao Fruit Powder, Benzyl Alcohol, Tocopherol, Ascorbyl Palmitate, Silica, Ultramarines (CI 77007), Iron Oxides (CI 77491, CI 77492, CI 77499), Manganese Violet (CI 77742).",30,77,0.28,210
"Redness Solutions Makeup Broad Spectrum SPF 15 with Probiotic Technology","Clinique","Active: Octinoxate 5.90%, Titanium Dioxide 3.70%, Zinc Oxide 2.90%.

Inactive: Water / Aqua / Eau, Methyl Trimethicone, Phenyl Trimethicone, Dimethicone, Triethylhexanoin, Butylene Glycol, Trimethylsiloxysilicate, PEG-10 Dimethicone, Lauryl PEG-9 Polydimethylsiloxyethyl Dimethicone, Aluminum Hydroxide, C12-15 Alkyl Benzoate, Lactobacillus Ferment, Citrus Grandis (Grapefruit) Peel Extract, Magnolia Grandiflora Bark Extract, Poria Cocos Sclerotium Extract, Astrocaryum Murumuru Seed Butter, Glycerin, Caffeine, Sodium Myristoyl Sarcosinate, Caprylyl Methicone, Methicone, Polyglyceryl-6 Polyricinoleate, Disteardimonium Hectorite, Acetyl Glucosamine, Isopropyl Titanium Triisostearate, Dimethicone Crosspolymer-3, Lecithin, Tocopheryl Acetate, Laureth-7, Dimethicone / PEG-10 / 15 Crosspolymer, Sodium Chloride, Dipropylene Glycol, Disodium EDTA, Polyaminopropyl Biguanide, Phenoxyethanol. May Contain: Mica, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499).

Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.",29.5,96,1,184
"Poreless Face Primer","ULTA","Cyclopentasiloxane, Dimethicone Crosspolymer, Phenoxyethanol, Carthamus Tinctorius (Safflower) Seed Oil, Tocopheryl Acetate, Vitis Vinifera (Grape) Seed Oil, Camellia Sinensis Leaf Extract.",12.5,82,1,175
"Prime Time Foundation Primer","BareMinerals","Cyclopentasiloxane, Dimethicone Crosspolymer, Dimethicone, Silica, Magnesium Silicate, Ascorbic Acid (Vitamin C), Tocopherol (Vitamin E), Calcium Pantothenate (Vitamin B5), Aloe Barbadensis Leaf Extract, Chamomilla Recutita (Matricaria) Flower Extract, Glycyrrhiza Glabra (Licorice) Root Extract.",25,94,1,2041
"The Multiple","NARS","Polymethyl Methacrylate, Triethylhexanoin, Dimethicone, Hydrogenated Poly(C6-14 Olefin), Cetyl Ethylhexanoate, Polyethylene, Sorbitan Sesquiisostearate, Cera Microcristallina (Microcrystalline Wax), Candelilla Cera [Euphorbia Cerifera (Candelilla) Wax], C10-30 Cholesterol/Lanosterol Esters, Sodium Magnesium Silicate, Glycerin, Tocopherol, Euterpe Oleracea (Euterpe Oleracea Fruit Oil), Linseed Oil/Palm Oil Aminopropanediol Esters, Aqua (Water), Sodium Hyaluronate. May Contain: Mica, CI 77891 (Titanium Dioxide), CI 77491 (Iron Oxides), CI 77492 (Iron Oxides), CI 77499 (Iron Oxides), CI 77163 (Bismuth Oxychloride).",39,86,0.5,131
"Blush","BareMinerals","Mica. May Contain: Carmine (CI 75470), Bismuth Oxychloride (CI 77163), Iron Oxides (CI 77491, CI 77492, CI 77499), Titanium Dioxide (CI 77891), Manganese Violet (CI 77742), Ultramarines (CI 77007), Ferric Ferrocyanide (CI 77510), Ferric Ammonium Ferrocyanide (CI 77510), Zinc Oxide (CI 77947).",22,98,0.03,1454
"Superpowder Double Face Makeup","Clinique","Talc, Isostearyl Linoleate, Titanium Dioxide, Octyldodecyl Stearoyl Stearate, Tocopherol, Hydrogenated Lecithin, Trimyristin, Alumina, Methicone, Tetrasodium EDTA, Phenoxyethanol, Potassium Sorbate.

May Contain: Mica, Iron Oxides (CI 77491, CI 77492, CI 77499), Manganese Violet (CI 77742), Red 30 Lake (CI 73360), Carmine (CI 75470), Bismuth Oxychloride (CI 77163), Red 7 Lake (CI 15850), Ultramarines (CI 77007), Titanium Dioxide (CI 77891).

Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.",28.5,93,0.35,199
"Concealer Broad Spectrum SPF 20","BareMinerals","Active: Titanium Dioxide 24.4%. Inactive: Mica (CI 77019), Bismuth Oxychloride (CI 77163), Titanium Dioxide (CI 77891), Iron Oxides (CI 77499, CI 77492, CI 77491), Ultramarines (CI 77007).",20,97,0.07,2404
"Naked Flushed","Urban Decay Cosmetics","Strip: Talc, Mica, Zinc Stearate, Dimethicone, Squalene, Glyceryl Caprylate, Nylon-12, Boron Nitride, Silica, Magnesium Carbonate, Lauroyl Lysine. Highlighter: Talc, Mica, Zinc Stearate, Dimethicone, Squalene, Glyceryl Caprylate, Nylon-12, Boron Nitride, Silica, Magnesium Carbonate, Lauroyl Lysine, Triethoxycaprylysilane. May Contain: CI 77891 (Titanium Dioxide), CI 77491/77492/77499 (Iron Oxides), CI 75470 (Carmine).",34,89,0.49,1114
"Classic SPF 30 Makeup Setting Spray Green Tea / Aloe","Coola","Active Ingredients: Avobenzone (Sunscreen) 2.8%, Homosalate (Sunscreen) 3.5%, Octisalate (Sunscreen) 3.9%.

Inactive Ingredients: Alcohol (ORGANIC), Aloe Barbadensis Leaf Extract (ORGANIC), Algae Extract (ORGANIC), Citrus Aurantium Dulcis (ORGANIC ) Orange Fruit Water, Cucumis Sativus (ORGANIC) Cucumber Fruit Extract, Dicaprylyl Carbonate, Diisopropyl Adipate, Ethyl Ferulate, Flavor, Glycerin (ORGANIC), Helianthus Annuus (Sunflower) Seed Oil, Isodecyl Neopentanoate, Juniperus Communis Callus Extract, Paeonia Lactiflora Leaf Cell Extract, Phoenix Dactilyfera (Date) Leaf Cell Extract, PVP, Silica Silylate, Sodium Hyaluronate, Water.",36,86,1.7,865
"Bye Bye Lines Foundation","It Cosmetics","Aqua/Water/Eau, Glycerin, Glycereth-26, PEG-8, Caprylyl Methicone, Diethylhexyl Carbonate, Dimethicone, Isohexadecane, Isododecane, Neopentyl Glycol Diheptanoate, Isostearyl Isostearate, Lauryl PEG-9 Polydimethylsiloxyethyl Dimethicone, Isostearyl Palmitate, Polymethyl Methacrylate, Sodium Chloride, C30-45 Alkyl Cetearyl Dimethicone Crosspolymer, PEG-10 Dimethicone, Tocopheryl Acetate, Sodium Hyaluronate, Chrysin, Palmitoyl Oligopeptide, Palmitoyl Tetrapeptide-7, Niacinamide, Camellia Sinensis Leaf Extract, Aloe Barbadensis Leaf Extract, Caviar Extract, Maris Aqua/Sea Water/Eau De Mer, Algae Extract, Polyhydroxystearic Acid, Magnesium Stearate, Panthenol, Silica Dimethyl Silylate, Xanthan Gum, Retinyl Palmitate, Tocopherol, Ascorbyl Palmitate, Hydrolyzed Silk, Hydrolyzed Collagen, Cholesteryl Isostearate, Cholesteryl Chloride, Cholesteryl Nonanoate, Cucumis Melo (Melon) Fruit Extract, Mangifera Indica (Mango) Fruit Extract, Citrullus Lanatus (Watermelon) Fruit Extract, Citrulline, Argania Spinosa Kernel Oil, Orbignya Oleifera Seed Oil, Folic Acid, Biotin, Ubiquinone, Riboflavin, Thiamine Hcl, Copper Powder, Sodium Benzoate, Olea Europaea (Olive) Leaf Extract, Oryza Sativa (Rice) Extract, Chamomilla Recutita (Matricaria) Flower Extract, Leuconostoc Ferment Filtrate, Superoxide Dismutase, Soybean Peroxidase, Glycyrrhiza Glabra (Licorice) Root Extract, Helianthus Annuus (Sunflower) Seed Oil, Vitis Vinifera (Grape) Seed Extract, Persea Gratissima (Avocado) Oil, Punica Granatum Seed Oil, Ceramide Np, Ceramide Ap, Curcuma Longa (Turmeric) Root Extract, Silica, Steareth-20, N-Hydroxysuccinimide, Actinidia Chinensis (Kiwi) Fruit Extract, Propylene Glycol, Butylene Glycol, Perfluorodecalin, Benzoic Acid, Potassium Sorbate, Sorbic Acid, Phenoxyethanol, Ethylhexylglycerin, BHT, Triethoxycaprylylsilane. May Contain: Titanium Dioxide (CI 77891), Iron Oxides (CI 77492, CI 77491, CI 77499).",38,74,1,227
"Conceal & Define Full Coverage Foundation","Makeup Revolution","Isododecane, Aqua/Water/Eau, Cyclopentasiloxane, Dimethicone, Silica, Isobutylmethacrylate/Bis-Hydroxypropyl Dimethicone Acryalate Copolymer, Butylene Glycol, Ethylhexyl Palmitate, Cetyl Peg-Ppg - 10/1 Dimethicone, Isononyl Isononanoate, Dimethicone Crosspolymer, Quatenium-90 Bentonite, Sorbitan Sesquioleate, C30-45 Alkyl Dimethicone, Sodium Chloride, Phenoxyethanol, Propylene Carbonate, Tocopheryl Acetate, Caprylyl Glycol, Methicone, Lecithin, Polyhydroxysteric Acid, Isopropyl Myristate, Isostearic Acid, Polyglycerol-3 Polyricinoleate. May Contain: Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, 77492, 77499).",12,76,0.8,1063
"Take The Day Off Makeup Remover For Lids, Lashes & Lips","Clinique","Water / Aqua / Eau, Isohexadecane, Dimethicone, Cyclopentasiloxane, Trisiloxane, PEG-4 Dilaurate, Lauryl Methyl Gluceth-10 Hydroxypropyldimonium Chloride, Hexylene Glycol, Sodium Chloride, Potassium Phosphate, Dipotassium Phosphate, Dipotassium EDTA, Phenoxyethanol.

Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.",19.5,97,NA,481
"Facial Spray with Aloe, Cucumber and Green Tea","Mario Badescu","Aqua (Water, Eau), Propylene Glycol, Mentha Piperita (Peppermint) Leaf Water, Cucumis Sativus (Cucumber) Fruit Water, Aloe Barbadensis Leaf Juice, Camellia Sinensis Leaf Extract, Cucumis Sativus (Cucumber) Fruit Extract, Fucus Vesiculosus Extract, Propanediol, Polysorbate 20, Ethylhexylglycerin, Benzophenone-4, Parfum (Fragrance), Sodium Chloride, Citric Acid, Potassium Sorbate, Sodium Benzoate, CI 19140 (Yellow 5), CI 42090 (Blue 1), Hexyl Cinnamal, Limonene, Linalool.",7,95,NA,2076
"Nudies Matte Blush & Bronze","NUDESTIX","Dimethicone Crosspolymer, Kaolin, Aluminum Starch Octenylsuccinate, C12-15 Alkyl Benzoate, Tocopheryl Acetate, Silica, Caprylyl Glycol, Pentaerythrityl Tetra-Di-T-Butylhydroxyhydrocinnamate, Hexylene Glycol, Phenoxyethanol. May Contain: Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, 77499)].",32,91,0.096,42
"Say What?! Foundation","UOMA Beauty","Black Pearl - T1C: Water (Aqua), Dimethicone, Trisiloxane, Butylene Glycol Dicaprylate/Dicaprate, IPDI/Di-C12-13 Alkyl Tartrate/Bis-Hydroxyethoxypropyl Dimethicone Copolymer, Cetyl PEG/PPG-10/1 Dimethicone Isododecane, Glycerin, Ethylene/Acrylic Acid Copolymer, Hdi/Trimethylol Hexyllactone Crosspolymer, Alcohol, Disteardimonium Hectorite, Sodium Chloride, Sorbitan Sesquioleate, Tetrasodium Edta, Phenoxyethanol, Potassium Sorbate, Caprylic/Capric Triglyceride, Dimethicone Crosspolymer, Fragrance (Parfum), Polymethylsilsesquioxane, C20-24 Olefin, Di-C12-13 Alkyl Tartrate, Silica, Poloxamer 338, Tocopherol, Solanum Lycopersicum (Tomato) Leaf Cell Culture Extract, Limonene,Butylphenyl Methylpropional, BHT, Rubus Idaeus Leaf Cell Culture, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate. May Contain: CI 77491 (Iron Oxides), CI 77492 (Iron Oxides), CI 77266 (Nano) (Black 2).",39,76,1,65
"Double Wear Light Soft Matte Hydra Makeup","Estée Lauder","This item is not eligible for coupon discounts. See
Opens in a new window
ulta.com/coupons for details.",43,77,1,74
"bareSkin Complete Coverage Serum Concealer","BareMinerals","Fair: Water (Aqua/Eau), Tetradecane, Hydrogenated Polydecene, Glycerin, Polyglyceryl-3 Diisostearate, Propanediol, Decyl Isostearate, Isostearyl Isostearate, Lauroyl Lysine, Sorbitan Sesquiisostearate, Magnesium Stearate, Disteardimonium Hectorite, Isostearic Acid, Methyl Methacrylate Crosspolymer, Soil Minerals/Syringa Vulgaris (Lilac) Leaf Cell Culture Extract, Maltodextrin, Trisodium EDTA, Synthetic Fluorphlogopite, Silica, Tin Oxide, Ethylhexylglycerin, Phenoxyethanol. May Contain: Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499).",22,89,0.2,937
"Tutti Frutti - Dew You Fresh Glow Setting Spray","Too Faced","Water\Aqua\Eau, Butylene Glycol, PVP, Cucumis Sativus (Cucumber) Fruit Extract, Citrullus Lanatus (Watermelon) Fruit Extract, Cucumis Melo Cantalupensis Fruit Extract, PPG-3 Benzyl Ether Myristate, Ethylhexylglycerin, PEG-10 Dimethicone, Glycerin, Synthetic Fluorphlogopite, Sodium Hydroxide, Poloxamer 407, Caprylyl Glycol, Fragrance (Parfum), Phenoxyethanol. May Contain: Titanium Dioxide (CI 77891), Iron Oxides (CI 77491), Iron Oxides (CI 77492), Iron Oxides (CI 77499).",30,NA,NA,NA
"Complexion Rescue Hydrating Foundation Stick Broad Spectrum SPF 25","BareMinerals","Active: Titanium Dioxide 4.15% ... Sunscreen. Inactive: Sea Water, Water, Coconut Alkanes, Squalene, Paraffin, Neopentyl Glycol Diheptanoate, Glycerin, Bis-Butyldimethicone Polyglyceryl-3, Jojoba Esters, Lauryl PEG-9 Polydimethylsiloxyethyl Dimethicone, Saccharomyces/Xylinum/Black Tea Ferment, Isostearic Acid, Polymethylsilsesquioxane, Dimethicone, Trifluoropropyldimethyl/Trimethylsiloxysilicate, Trehalose, Moringa Oleifera Seed Extract, Camellia Japonica Flower Extract, Salicornia Herbacea Extract, Theobroma Cacao (Cocoa) Seed Extract, Disodium Stearoyl Glutamate, Sea Salt, Biosaccharide Gum-4, Palmitoyl Tripeptide-5, PEG-12 Dimethicone, Caprylic/Capric Triglyceride, Lauroyl Lysine, Coco-Caprylate/Caprate, Butylene Glycol, Ethylhexylglycerin, Tocopherol, Silica, Aluminum Hydroxide, Disteardimonium Hectorite, Microcrystalline Wax, Propanediol, Sodium Chloride, Sodium Carrageenan, Stearic Acid, Trisodium EDTA, Aluminum Dimyristate, Triethoxycaprylylsilane, 1,2-Hexanediol, Boron Nitride, Disodium Phosphate, Citric Acid, BHT, Potassium Sorbate, Sodium Benzoate, Phenoxyethanol. May Contain: Titanium Dioxide, Iron Oxides.",32,91,0.35,974
"Optical Illusion Complexion Primer","Urban Decay Cosmetics","Cyclopentasiloxane, Dimethicone Crosspolymer, Dimethicone/Vinyl Dimethicone Crosspolymer, Silica, Ethylhexyl Hydroxystearate Benzoate, Glycerin, Argania Spinosa Kernel Oil, Rosa Canina Fruit Oil, Limnanthes Alba Seed Oil / Meadowfoam Seed Oil, Polyglyceryl-3 Diisostearate, Dimethiconol, Triethoxycaprylylsilane, Glyceryl Caprylate, Tocopheryl Acetate, Aqua / Water, Hydroxyapatite, Sodium Olivoyl Glutamate, Phenoxyethanol, Propylene Glycol, Caprylyl Glycol, Ethylhexylglycerin. May Contain: Mica, CI 77891 / Titanium Dioxide, CI 77491 / Iron Oxides.",36,92,0.95,625
"Amazonian Clay 12 Hour Blush","Tarte","Blissful: Talc, Zinc Stearate, Polyethylene, Tricaprylin, Caprylic/Capric Triglyceride, Cera Alba/Beeswax/Cire D'abeille, PEG-150 Distearate, Lanolin, Laureth-4, Tocopherol, Ascorbyl Palmitate, Kaolin, Polysorbate 20, Chlorphenesin, Tetrasodium EDTA, Potassium Sorbate. May Contain: Bismuth Oxychloride (CI 77163), Iron Oxides (CI 77491, CI 77492, CI 77499), Red 7 Lake (CI 15850), Red 27 (CI 45410), Red 6 (CI 15850), Ultramarines (CI 77007).",29,94,0.2,1192
"Soft Matte Complete Concealer","NARS","Dimethicone, Water/Aqua/Eau, Glycerin, Butylene Glycol, Nylon-12, Paraffin, Dimethicone/Vinyl Dimethicone Crosspolymer, Dicaprylyl Carbonate, Zinc Oxide, PEG-10 Dimethicone, PEG-400, Sorbitan Sesquiisostearate, Microcrystalline Wax/Cera Microcristallina/Cire Microcristalline, Phenoxyethanol, Polysilicone-2, Silica, Barium Sulfate, Dextrin Palmitate, Distearyldimonium Chloride, Palmitic Acid, Aluminum Hydroxide, Hydrogen Dimethicone, Palmitoyl Tripeptide-5, Ascorbic Acid, Retinyl Palmitate, Tocopheryl Acetate, Alumina, Sodium Acetylated Hyaluronate, Tocopherol. [+/- (May Contain/Peut Contenir): Mica, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491), Iron Oxides (CI 77492), Iron Oxides (CI 77499)].",30,89,0.21,160
"Naked Skin One & Done","Urban Decay Cosmetics","Active: Octinoxate 7.5%, Zinc Oxide 3.4%.

Inactive: Water, Isododecane, Cyclopentasiloxane, Adipic Acid/Neopentyl Glycol Crosspolymer, Lauryl Dimethicone, Polyglyceryl-6 Polyricinoleate, Dimethicone/Vinyl Dimethicone Crosspolymer, Isononyl Isononanoate, Propylene Glycol, Hydrogenated Polyisobutene, Polyglyceryl-2 Isostearate, Glycerin, Phenoxyethanol, Propanediol, Isopropyl Myristate, Dimethicone Crosspolymer, Disteardimonium Hectorite, Sodium Chloride, Glycyrrhiza Glabra (Licorice) Root Extract, Xanthan Gum, Silica, Isopropyl Titanium Triisostearate, Stearalkonium Hectorite, Triethoxycaprylylsilane, Aspergillus Ferment, Evodia Rutaecarpa Fruit Extract, Isoceteth-10, Polyhydroxystearic Acid, Ethoxydiglycol, Propylene Carbonate, Aloe Barbadensis Leaf Juice Powder, BHT, Sorbic Acid. May Contain: Titanium Dioxide, Iron Oxides.",36,86,1.3,1142
